label;mmBtu;CO2value;CH4value;N2Ovalue;CO2BiogenicValue;unit;category
Anthracite Coal;25,09;103,69;11;1,6;;mmBtu/short-ton;Coal and Coke
Bituminous Coal;24,93;93,28;11;1,6;;mmBtu/short-ton;Coal and Coke
Sub-bituminous Coal;17,25;97,17;11;1,6;;mmBtu/short-ton;Coal and Coke
Lignite Coal;14,21;97,72;11;1,6;;mmBtu/short-ton;Coal and Coke
Mixed (Commercial Sector);21,39;94,27;11;1,6;;mmBtu/short-ton;Coal and Coke
Mixed (Electric Power Sector);19,73;95,52;11;1,6;;mmBtu/short-ton;Coal and Coke
Mixed (Industrial Coking);26,28;93,9;11;1,6;;mmBtu/short-ton;Coal and Coke
Mixed (Industrial Sector);22,35;94,67;11;1,6;;mmBtu/short-ton;Coal and Coke
Coal Coke;24,8;113,67;11;1,6;;mmBtu/short-ton;Coal and Coke
Municipal Solid Waste;9,95;90,7;32;4,2;;mmBtu/short-ton;Other Fuels - Solid
Petroleum Coke (Solid);30;102,41;32;4,2;;mmBtu/short-ton;Other Fuels - Solid
Plastics;38;75;32;4,2;;mmBtu/short-ton;Other Fuels - Solid
Tires;28;85,97;32;4,2;;mmBtu/short-ton;Other Fuels - Solid
Agricultural Byproducts;8,25;;32;4,2;118,17;mmBtu/short-ton;Biomass Fuels - Solid
Peat;8;;32;4,2;111,84;mmBtu/short-ton;Biomass Fuels - Solid
Solid Byproducts;10,39;;32;4,2;105,51;mmBtu/short-ton;Biomass Fuels - Solid
Wood and Wood Residuals;17,48;;7,2;3,6;93,8;mmBtu/short-ton;Biomass Fuels - Solid
Natural Gas;0,001026;53,06;1;0,1;;mmBtu/scf;Natural Gas -
Blast Furnace Gas;0,000092;274,32;0,022;0,1;;mmBtu/scf;Other Fuels - Gaseous
Coke Oven Gas;0,000599;46,85;0,48;0,1;;mmBtu/scf;Other Fuels - Gaseous
Fuel Gas;0,001388;59;3;0,6;;mmBtu/scf;Other Fuels - Gaseous
Propane Gas;0,002516;61,46;3;0,6;;mmBtu/scf;Other Fuels - Gaseous
Landfill Gas;0,000485;;3,2;0,63;52,07;mmBtu/scf;Biomass Fuels - Gaseous
Other Biomass Gases;0,000655;;3,2;0,63;52,07;mmBtu/scf;Biomass Fuels - Gaseous
Asphalt and Road Oil;0,158;75,36;3;0,6;;mmBtu/gallon;Petroleum Products
Aviation Gasoline;0,12;69,25;3;0,6;;mmBtu/gallon;Petroleum Products
Butane;0,103;64,77;3;0,6;;mmBtu/gallon;Petroleum Products
Butylene;0,105;68,72;3;0,6;;mmBtu/gallon;Petroleum Products
Crude Oil;0,138;74,54;3;0,6;;mmBtu/gallon;Petroleum Products
Distillate Fuel Oil No. 1;0,139;73,25;3;0,6;;mmBtu/gallon;Petroleum Products
Distillate Fuel Oil No. 2;0,138;73,96;3;0,6;;mmBtu/gallon;Petroleum Products
Distillate Fuel Oil No. 4;0,146;75,04;3;0,6;;mmBtu/gallon;Petroleum Products
Ethane;0,068;59,6;3;0,6;;mmBtu/gallon;Petroleum Products
Ethylene;0,058;65,96;3;0,6;;mmBtu/gallon;Petroleum Products
Heavy Gas Oils;0,148;74,92;3;0,6;;mmBtu/gallon;Petroleum Products
Isobutane;0,099;64,94;3;0,6;;mmBtu/gallon;Petroleum Products
Isobutylene;0,103;68,86;3;0,6;;mmBtu/gallon;Petroleum Products
Kerosene;0,135;75,2;3;0,6;;mmBtu/gallon;Petroleum Products
Kerosene-Type Jet Fuel;0,135;72,22;3;0,6;;mmBtu/gallon;Petroleum Products
Liquefied Petroleum Gases (LPG);0,092;61,71;3;0,6;;mmBtu/gallon;Petroleum Products
Lubricants;0,144;74,27;3;0,6;;mmBtu/gallon;Petroleum Products
Motor Gasoline;0,125;70,22;3;0,6;;mmBtu/gallon;Petroleum Products
Naphtha (<401 deg F);0,125;68,02;3;0,6;;mmBtu/gallon;Petroleum Products
Natural Gasoline;0,11;66,88;3;0,6;;mmBtu/gallon;Petroleum Products
Other Oil (>401 deg F);0,139;76,22;3;0,6;;mmBtu/gallon;Petroleum Products
Pentanes Plus;0,11;70,02;3;0,6;;mmBtu/gallon;Petroleum Products
Petrochemical Feedstocks;0,125;71,02;3;0,6;;mmBtu/gallon;Petroleum Products
Petroleum Coke;0,143;102,41;3;0,6;;mmBtu/gallon;Petroleum Products
Propane;0,091;62,87;3;0,6;;mmBtu/gallon;Petroleum Products
Propylene;0,091;67,77;3;0,6;;mmBtu/gallon;Petroleum Products
Residual Fuel Oil No. 5;0,14;72,93;3;0,6;;mmBtu/gallon;Petroleum Products
Residual Fuel Oil No. 6;0,15;75,1;3;0,6;;mmBtu/gallon;Petroleum Products
Special Naphtha;0,125;72,34;3;0,6;;mmBtu/gallon;Petroleum Products
Unfinished Oils;0,139;74,54;3;0,6;;mmBtu/gallon;Petroleum Products
Used Oil;0,138;74;3;0,6;;mmBtu/gallon;Petroleum Products
Biodiesel (100%);0,128;;1,1;0,11;73,84;mmBtu/gallon;Biomass Fuels - Liquid
Ethanol (100%);0,084;;1,1;0,11;68,44;mmBtu/gallon;Biomass Fuels - Liquid
Rendered Animal Fat;0,125;;1,1;0,11;71,06;mmBtu/gallon;Biomass Fuels - Liquid
Vegetable Oil;0,12;;1,1;0,11;81,55;mmBtu/gallon;Biomass Fuels - Liquid